"キャラ詳細数値
※作業時は基本、各個人のローカルのスプシにコピーしてから作業!!
謎のコピーシート見つけたら、管理衛生上、削除してしまうのでご注意を。
↑↑運用定着したら注意表記削除します",,,,,,,,"※A列(A列)〜K列、「監修・企画」ID管理更新待ち。
↓↓↓(D列〜J列は作品表示順、自動出力数値etcに影響)",,,※↓手動,,0.0,※↓手動,※↓手動,"※新ワザ
追加時
メンテ必要","※新特性
追加時
メンテ必要",,,,※↓手動,,※↓手動,,,※↓手動,,※↓手動,,,※↓手動,"※新ワザ
追加時
メンテ必要",,,,,,,,,,,※↓手動,,,,"手動
※攻撃力との差し引きなし",,,,,,,※メンテ中,※メンテ中,,,※↓手動,,,"手動
※体力との差し引きなし",,,,,※↓手動,,※↓手動(レギュ参照),※↓半自動,※↓半自動,※↓半手動,※↓手動,※手動(指示書),※↓手動,※↓半手動,,"※↓手動
※UR以上は特性2つ",※↓半手動,,※半自動,"※指示書
※↓範囲指定手動",,,"※指示書
※↓範囲指定手動","※指示書
※↓範囲指定手動",,※SPキャラは手動,"封印
推しの子までのキャラ設計書の対象箇所が参照元になっているため。
キャラ設計書に全て値のみ貼り付けたら削除可能。",,,,"※↓手動
※Fes_UR以上は特性3つ",※↓半手動,,"封印
推しの子までのキャラ設計書の対象箇所が参照元になっているため。
キャラ設計書に全て値のみ貼り付けたら削除可能。",※↓手動,※↓手動,※↓手動,※↓手動,※↓手動,"※↓半手動
攻撃系倍率のみ自動",※効果時間がある必殺ワザの場合は、完凸時の効果時間を入力必須(CT計算に影響),,範囲対象数→,5,※↓手動,"※↓半手動
攻撃系倍率のみ自動",※効果時間がある必殺ワザの場合は、完凸時の効果時間を入力必須(CT計算に影響),,"※
必殺ワザ1、その他ワザと
差分ある時のみ指定
【対象範囲：DF列〜DK列】",,,
終末のハーレム,(仮)周防 美来,chara_syu_00001,PremiumUR,緑,サポート,※ID管理未記入,※ID管理未記入,※ID管理未記入,プラン確認,ジューンブライドイベント,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.40,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,-0.30,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,2,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),4,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
終末のハーレム After World,(仮)溝下 乃薔薇,chara_aft_00001,PremiumUR,赤,ディフェンス,※ID管理未記入,※ID管理未記入,※ID管理未記入,プラン確認,ジューンブライドイベント,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.90,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,-0.50,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,1,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),4,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
口が裂けても君には,(仮)みろく,chara_kut_00001,PremiumUR,青,テクニカル,※ID管理未記入,※ID管理未記入,※ID管理未記入,プラン確認,ジューンブライドイベント,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.30,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.10,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,3,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),4,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
サンキューピッチ,(仮)桐山 不折,chara_san_00001,PremiumUR,黄,アタック,※ID管理未記入,※ID管理未記入,※ID管理未記入,プラン確認,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.20,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.30,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,2,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),4,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
サンキューピッチ,(仮)三馬 正磨,chara_san_00101,DropSR,赤,アタック,※ID管理未記入,※ID管理未記入,※ID管理未記入,プラン確認,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.20,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.30,0.10,0.00,0.00,0.00,0,0,0.0,0.0,,2,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
正反対な君と僕,(仮)鈴木 みゆ,chara_sei_00001,PremiumUR,赤,ディフェンス,※ID管理未記入,※ID管理未記入,※ID管理未記入,プラン確認,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.90,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,-0.50,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,1,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),4,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
チェンソーマン,(仮)レゼ,chara_chi_00901,※ID管理未記入,※未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),-,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
怪獣８号,(仮)ドレスアップ怪獣８号,chara_kai_00003,PremiumUR,※未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),4,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
怪獣８号,(仮)超大型キラー 亜白 ミナ,chara_kai_00202,FestivalUR,無,スペシャル,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,5.0,0.0,1,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),-,,※特性を選択!!(BW列),-,※ID管理未記入,,-,#VALUE!,,,-,#VALUE!,,,,-,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
怪獣８号,(仮)識別怪獣兵器4 四ノ宮 キコル,chara_kai_00302,PremiumUR,赤,アタック,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.20,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.30,0.10,0.00,0.00,0.00,0,0,0.0,0.0,,2,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),4,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
怪獣８号,(仮)怪獣15号,chara_kai_01001,DropSR,青,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
タコピーの原罪,(仮)久世 しずか＆タコピー,chara_tak_00101,PremiumUR,無,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),4,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
タコピーの原罪,(仮)雲母坂 まりな,chara_tak_00201,DropSR,緑,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
サマータイムレンダ,(仮)小舟 澪の影,chara_sum_00401,DropSSR,黄,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
サマータイムレンダ,(仮)ハイネ＆シデ,chara_sum_00501,FestivalUR,緑,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),4,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,6,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
【推しの子】,(仮)星野 アクア (東京ブレイド編ver.),chara_osh_00102,DropSR,青,ディフェンス,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.90,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,-0.50,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,1,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
【推しの子】,(仮)星野 ルビー（闇堕ち演技ver）,chara_osh_00202,DropSR,無,スペシャル,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,5.0,0.0,1,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),-,,※特性を選択!!(BW列),-,※ID管理未記入,,-,#VALUE!,,,-,#VALUE!,,,,-,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
【推しの子】,(仮)有馬 かな (東京ブレイド編ver.),chara_osh_00402,PremiumUR,青,アタック,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.20,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.30,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,2,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),4,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
【推しの子】,(仮)黒川 あかね (東京ブレイド編ver.),chara_osh_00502,PremiumUR,黄,サポート,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.40,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,-0.30,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,2,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),4,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
クソ女に幸あれ,"(仮)西川 檸檬",chara_kus_00001,PremiumUR,青,テクニカル,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.30,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.10,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,3,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),4,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
半人前の恋人,"(仮)杉崎 響子",chara_han_00001,PremiumSSR,赤,ディフェンス,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.90,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,-0.50,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,1,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
久保さんは僕を許さない,"(仮)久保 渚咲",chara_kub_00001,DropSR,緑,アタック,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.20,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.30,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,2,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
ちえりの恋は8メートル,"(仮)大峰 ちえり",chara_c8m_00001,DropSR,無,スペシャル,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,5.0,0.0,1,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),-,,※特性を選択!!(BW列),-,※ID管理未記入,,-,#VALUE!,,,-,#VALUE!,,,,-,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
ダンダダン,(仮)オカルン＆ターボババア,chara_dan_00701,FestivalUR,黄,テクニカル,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.30,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.10,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,3,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),4,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,6,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
サマータイムレンダ,(仮)ハイネ＆シデ(シデのみ),chara_sum_00502,※ID管理未記入,※未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),-,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
幼稚園WARS,(仮)リタ（ドレスアップ）,chara_you_00002,DropSR,赤,アタック,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.20,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.30,0.10,0.00,0.00,0.00,0,0,0.0,0.0,,2,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
マリッジトキシン,(仮)下呂 ヒカル（ドレスアップ）,chara_mar_00002,DropSR,青,テクニカル,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.0,0.0,-,-,0,0,0,0.0,0.0,0,-0.30,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.10,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,3,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
